,Nome,Partido,Estado,twitter
121,João Campos,PRB,Goiás,iranildocampos
122,José Nelto,PODE,Goiás,depjosenelto
123,Lucas Vergílio,SD,Goiás,LucasVergilioGO
124,Magda Mofatto,PR,Goiás,124
125,Major Vitor Hugo,PSL,Goiás,MajorVitorHugo
126,Professor Alcides,PP,Goiás,profalcids
127,Rubens Otoni,PT,Goiás,RubensOtoni
128,Zé Mario,DEM,Goiás,ZeMarioGO
129,Aluisio Mendes,PODE,Maranhão,AluisioMendesMA
130,Andre Fufuca,PP,Maranhão,DepAndreFufuca
131,Bira do Pindaré,PSB,Maranhão,131
132,Cleber Verde,PRB,Maranhão,CleberVerde10
133,Edilazio,PSD,Maranhão,EdilazioJr
134,Eduardo Braide,PMN,Maranhão,134
135,Gil Cutrim,PDT,Maranhão,gilcutrim
136,Hildo Rocha,MDB,Maranhão,RochaHildorocha
137,João Marcelo,MDB,Maranhão,137
138,Josimar Maranhãozinho,PR,Maranhão,josimarPL22
139,Junior Lourenço,PR,Maranhão,139
140,Junior Marreca Filho,PATRI,Maranhão,140
141,Juscelino Filho,DEM,Maranhão,DepJuscelino
142,Márcio Jerry,PC do B,Maranhão,142
143,Pastor Gildenemyr,PMN,Maranhão,143
144,Pedro Lucas Fernandes,PTB,Maranhão,depPedroLucasF
145,Rubens Junior,PC do B,Maranhão,145
146,Zé Carlos,PT,Maranhão,Dep_ZeCarlosPT
147,Carlos Bezerra,MDB,Mato Grosso,CarlosBezerraJr
148,Dr Leonardo,SD,Mato Grosso,DeputadoL
149,Emanuelzinho,PTB,Mato Grosso,149
150,Jose Medeiros,PODE,Mato Grosso,JoseMedeirosMT
151,Juarez Costa,MDB,Mato Grosso,151
152,Nelson Barbudo,PSL,Mato Grosso,nelsonbarbudo
153,Neri Geller,PP,Mato Grosso,153
154,Professora Rosa Neide,PT,Mato Grosso,prof_rosaneide
155,Beto Pereira,PSDB,Mato Grosso do Sul,betopereirams
156,Dagoberto,PDT,Mato Grosso do Sul,dagobertopdt
157,Dr. Luiz Ovando,PSL,Mato Grosso do Sul,drluizovando
158,Fabio Trad,PSD,Mato Grosso do Sul,f_trad
159,Rose Modesto,PSDB,Mato Grosso do Sul,159
160,Tereza Cristina,DEM,Mato Grosso do Sul,TerezaCrisMS
161,Tio Trutis,PSL,Mato Grosso do Sul,LTrutis
162,Vander Loubet,PT,Mato Grosso do Sul,vanderloubet
163,Aécio Neves,PSDB,Minas Gerais,AecioNeves
164,Alê Silva,PSL,Minas Gerais,164
165,Andre Janones,AVANTE,Minas Gerais,AndreJanonesAdv
166,Aurea Carolina,PSOL,Minas Gerais,aureacarolinax
167,Bilac Pinto,DEM,Minas Gerais,depbilacpinto
168,Cabo Junio Amaral,PSL,Minas Gerais,168
169,Charlles Evangelista,PSL,Minas Gerais,charllesevg
170,Delegado Marcelo Freitas,PSL,Minas Gerais,DelegadoFreitas
171,Diego Andrade,PSD,Minas Gerais,171
172,Dimas Fabiano,PP,Minas Gerais,172
173,Domingos Sávio,PSDB,Minas Gerais,DomingosSavioMG
174,Doutor Frederico,PATRI,Minas Gerais,174
175,Dr. Mário Heringer,PDT,Minas Gerais,175
176,Eduardo Barbosa,PSDB,Minas Gerais,eduardobarbosa_
177,Emidinho Madeira,PSB,Minas Gerais,177
178,Eros Biondini,PROS,Minas Gerais,eros_1433
179,Euclydes Pettersen,PSC,Minas Gerais,search?q=%23FechadoComOPovo&src=hashtag_click
180,Fabio Ramalho,MDB,Minas Gerais,fabioramalho
181,Franco Cartafina,PHS,Minas Gerais,FrancoCartafina
182,Fred Costa,PATRI,Minas Gerais,FredCostaDep
183,Gilberto Abramo,PRB,Minas Gerais,183
184,Greyce Elias,AVANTE,Minas Gerais,184
185,Hercílio Coelho Diniz,MDB,Minas Gerais,herciliodiniz
186,Igor Timo,PODE,Minas Gerais,oficialigortimo
187,Julio Delgado,PSB,Minas Gerais,depjuliodelgado
188,Lafayette Andrada,PRB,Minas Gerais,DeDeputado
189,Léo Motta,PSL,Minas Gerais,leomotta_ofc
190,Leonardo Monteiro,PT,Minas Gerais,depleomonteiro
191,Lincoln Portela,PR,Minas Gerais,lincoln_portela
192,Lucas Gonzalez,NOVO,Minas Gerais,192
193,Luis Tibe,AVANTE,Minas Gerais,LuisTibeOficial
194,Marcelo Álvaro Antônio,PSL,Minas Gerais,Marceloalvaroan
195,Marcelo Aro,PHS,Minas Gerais,marceloaro
196,Margarida Salomão,PT,Minas Gerais,JFMargarida
197,Mauro Lopes,MDB,Minas Gerais,depmaurolopes
198,Misael Varella,PSD,Minas Gerais,198
199,Newton Cardoso Jr,MDB,Minas Gerais,depnewtonjunior
200,Odair Cunha,PT,Minas Gerais,odaircunhamg
201,Padre João,PT,Minas Gerais,201
202,Patrus Ananias,PT,Minas Gerais,202
203,Paulo Abi Ackel,PSDB,Minas Gerais,pauloabiackel
204,Paulo Guedes,PT,Minas Gerais,deppauloguedes
205,Pinheirinho,PP,Minas Gerais,205
206,Reginaldo Lopes,PT,Minas Gerais,ReginaldoLopes
207,Rodrigo de Castro,PSDB,Minas Gerais,RodrigoCastro45
208,Rogério Correia,PT,Minas Gerais,RogerioCorreia_
209,Stefano Aguiar,PSD,Minas Gerais,depstefano
210,Subtenente Gonzaga,PDT,Minas Gerais,subgonzagamg
211,Tiago Mitraud,NOVO,Minas Gerais,TiagoMitraud
212,Vilson da Fetaemg,PSB,Minas Gerais,Vilsondafetaemg
213,Weliton Prado,PROS,Minas Gerais,pradoweliton
214,Zé Silva,SD,Minas Gerais,ZeSilva_
215,Zé Vitor,PMN,Minas Gerais,zevitor_mg
216,Airton Faleiro,PT,Pará,FaleiroAirton
217,Beto Faro,PT,Pará,BetoFaroPT
218,Cássio Andrade,PSB,Pará,218
219,Celso Sabino,PSDB,Pará,depcelsosabino
220,Cristiano Vale,PR,Pará,220
221,Delegado Éder Mauro,PSD,Pará,EderMauroPA
222,Edmilson Rodrigues,PSOL,Pará,222
223,Eduardo Costa,PTB,Pará,eduardocosta37
224,Elcione,MDB,Pará,224
225,Hélio Leite,DEM,Pará,h_leite
226,Joaquim Passarinho,PSD,Pará,226
227,Júnior Ferrari,PSD,Pará,HBZcFNEprFc3WO5
228,Nilson Pinto,PSDB,Pará,DepNilsonPinto
229,Olival Marques,DEM,Pará,229
230,Paulo Bengtson,PTB,Pará,230
231,Priante,MDB,Pará,Priante15
232,Vavá Martins,PRB,Pará,232
233,Aguinaldo Ribeiro,PP,Paraíba,depaguinaldo11
234,Dr Damião,PDT,Paraíba,Drdamiaof
235,Edna Henrique,PSDB,Paraíba,235
236,Efraim Filho,DEM,Paraíba,236
237,Frei Anastácio,PT,Paraíba,freianastaciopt
238,Gervásio Maia,PSB,Paraíba,gervasiomaia
239,Hugo,PRB,Paraíba,h_oliveira
240,Julian Lemos,PSL,Paraíba,JulianLemosopb1
241,Pedro Cunha Lima,PSDB,Paraíba,muni9_munilima
242,Ruy Carneiro,PSDB,Paraíba,242
243,Wellington Roberto,PR,Paraíba,Wellington_NZ
244,Wilson Santiago,PTB,Paraíba,WilsonSantiago_
245,Aliel Machado,PSB,Paraná,alielmachado
246,Aline Sleutjes,PSL,Paraná,246
247,Aroldo Martins,PRB,Paraná,aroldomartins
248,Boca Aberta,PROS,Paraná,248
249,Christiane Yared,PR,Paraná,249
250,Diego Garcia,PODE,Paraná,diegogarciapr
251,Enio Verri,PT,Paraná,enioverri
252,Felipe Francischini,PSL,Paraná,FFrancischini_
253,Filipe Barros,PSL,Paraná,filipebarrost
254,Giacobo,PR,Paraná,fernandogiacobo
255,Gleisi Lula,PT,Paraná,255
256,Gustavo Fruet,PDT,Paraná,gustavofruet
257,Hermes Frangão Parcianello,MDB,Paraná,257
258,Leandre,PV,Paraná,258
259,Luciano Ducci,PSB,Paraná,LucianoDucci
260,Luisa Canziani,PTB,Paraná,luisa_canziani
261,Luiz Nishimori,PR,Paraná,LuizNishimori
262,Luizão Goulart,PRB,Paraná,luizaogoulart
263,Ney Leprevost,PSD,Paraná,SouBetoeNey
264,Paulo Martins,PSC,Paraná,PauloMartins10
265,Pedro Lupion,DEM,Paraná,pedro_lupion
266,Ricardo Barros,PP,Paraná,RicardoBarrosPP
267,Rubens Bueno,PPS,Paraná,23rubensbueno
268,Sandro Alex,PSD,Paraná,268
269,Sargento Fahur,PSD,Paraná,sargentofahur1
270,Schiavinato,PP,Paraná,Schiavinato_
271,Sérgio Souza,MDB,Paraná,271
272,Toninho Wandscheer,PROS,Paraná,deputadotoninho
273,Vermelho,PSD,Paraná,depvermelho
274,Zeca Dirceu,PT,Paraná,zeca_dirceu
275,André de Paula,PSD,Pernambuco,275
276,Andre Ferreira,PSC,Pernambuco,aferreira2020
277,Augusto Coutinho,SD,Pernambuco,dep_acoutinho
278,Bispo Ossesio,PRB,Pernambuco,278
279,Carlos Veras,PT,Pernambuco,carlosveraspt
280,Daniel Coelho,PPS,Pernambuco,DanielCoelho23
281,Danilo Cabral,PSB,Pernambuco,281
282,Eduardo da Fonte,PP,Pernambuco,eduardodafonte
283,Felipe Carreras,PSB,Pernambuco,283
284,Fernando Filho,DEM,Pernambuco,fernandofilhope
285,Fernando Monteiro,PP,Pernambuco,285
286,Fernando Rodolfo,PHS,Pernambuco,depfernandor
287,Gonzaga Patriota,PSB,Pernambuco,287
288,João Campos,PSB,Pernambuco,288
289,Luciano Bivar,PSL,Pernambuco,Luciano_Bivar
290,Marília Arraes,PT,Pernambuco,MariliaArraes
291,Pastor Eurico,PATRI,Pernambuco,291
292,Raul Henry,MDB,Pernambuco,kakau_bernardes
293,Renildo Calheiros,PC do B,Pernambuco,renildo
294,Ricardo Teobaldo,PODE,Pernambuco,294
295,Sebastião Oliveira,PR,Pernambuco,Seba_Oliveira
296,Silvio Costa Filho,PRB,Pernambuco,Silvio_CFilho
297,Tadeu Alencar,PSB,Pernambuco,TadeuAlencarPE
298,Túlio Gadêlha,PDT,Pernambuco,tuliogadelha
299,Wolney Queiroz,PDT,Pernambuco,WolneyQueirozM
300,Assis Carvalho,PT,Piauí,assis_carvalho
301,Átila Lira,PSB,Piauí,deputadoatila
302,Capitão Fábio Abreu,PR,Piauí,302
303,Dra. Marina,PTC,Piauí,303
304,Flavio Nogueira,PDT,Piauí,304
305,Iracema Portella,PP,Piauí,iracemaportela
306,Júlio Cesar,PSD,Piauí,DepJulioCesarPI
307,Marcos Aurélio Sampaio,MDB,Piauí,MarcosA_Sampaio
308,Margarete Coelho,PP,Piauí,308
309,Rejane Dias,PT,Piauí,309
310,Alessandro Molon,PSB,Rio de Janeiro,alessandromolon
311,Alexandre Serfiotis,PSD,Rio de Janeiro,AleSerfiotis
312,Altineu Cortes,PR,Rio de Janeiro,Altineu
313,Aureo,SD,Rio de Janeiro,christinoaureo
314,Benedita da Silva,PT,Rio de Janeiro,dasilvabenedita
315,Carlos Jordy,PSL,Rio de Janeiro,carlosjordy
316,Chico d Angelo,PDT,Rio de Janeiro,chico_dangelo
317,Chiquinho Brazão,AVANTE,Rio de Janeiro,BrazaoChiquinho
318,Chris Tonietto,PSL,Rio de Janeiro,318
319,Christino Aureo,PP,Rio de Janeiro,christinoaureo
320,Clarisse Garotinho,PROS,Rio de Janeiro,320
321,Daniel Silveira,PSL,Rio de Janeiro,danielPMERJ
322,Daniela do Waguinho,MDB,Rio de Janeiro,DanielaWaguinho
323,Delegado Antônio Furtado,PSL,Rio de Janeiro,DelegadoFurtado
324,Dr. Luizinho,PP,Rio de Janeiro,Doutorluizinhot
325,Felício Laterça,PSL,Rio de Janeiro,FederalFelicio
326,Flordelis,PSD,Rio de Janeiro,326
327,Gelson Azevedo,PHS,Rio de Janeiro,GelsonAzevedoRJ
328,Glauber Braga,PSOL,Rio de Janeiro,Glauber_Braga
329,Gutemberg Reis,MDB,Rio de Janeiro,_GutembergReis
330,Helio Fernando Barbosa Lopes,PSL,Rio de Janeiro,330
331,Hugo Leal,PSD,Rio de Janeiro,DeputadoHugoLea
332,Jandira Feghali,PC do B,Rio de Janeiro,332
333,David Miranda,PSOL,Rio de Janeiro,ggreenwald
334,Juninho do Pneu,DEM,Rio de Janeiro,334
335,Lourival Gomes,PSL,Rio de Janeiro,LourivalGomesrj
336,Luiz Antônio,DC,Rio de Janeiro,TombaFarias
337,Luiz Lima,PSL,Rio de Janeiro,muni9_munilima
338,Major Fabiana,PSL,Rio de Janeiro,338
339,Marcelo Calero,PPS,Rio de Janeiro,caleromarcelo
340,Marcelo Freixo,PSOL,Rio de Janeiro,MarceloFreixo
341,Márcio Labre,PSL,Rio de Janeiro,marciolabre
342,Otoni de Paula,PSC,Rio de Janeiro,OtoniDepFederal
343,Paulo Ganime,NOVO,Rio de Janeiro,pauloganime
344,Paulo Ramos,PDT,Rio de Janeiro,deppauloramosrj
345,Pedro Paulo,DEM,Rio de Janeiro,pedropaulo
346,Professor Joziel,PSL,Rio de Janeiro,professorjoziel
347,Rodrigo Maia,DEM,Rio de Janeiro,RodrigoMaia
348,Rosangela Gomes,PRB,Rio de Janeiro,rosangelasgomes
349,Sargento Gurgel,PSL,Rio de Janeiro,349
350,Soraya Santos,PR,Rio de Janeiro,sorayasantos
351,Sóstenes,DEM,Rio de Janeiro,DepSostenes
352,Talíria Petrone,PSOL,Rio de Janeiro,taliriapetrone
353,Vinícius Farah,MDB,Rio de Janeiro,353
354,Jorge Braz,PRB,Rio de Janeiro,Jorge_Braz
355,Wladimir Garotinho,PRP,Rio de Janeiro,355
356,Benes Leocadio,PTC,Rio Grande do Norte,356
357,Fábio Faria,PSD,Rio Grande do Norte,5555fabiofaria
358,General Girao,PSL,Rio Grande do Norte,GeneralGirao
359,João Maia,PR,Rio Grande do Norte,359
360,Beto Rosado,PP,Rio Grande do Norte,BetoRosado
361,Natalia Bonavides,PT,Rio Grande do Norte,natbonavides
362,Rafael Motta,PSB,Rio Grande do Norte,RafaelMottaRN
363,Walter Alves,MDB,Rio Grande do Norte,walteralvesrn
364,Afonso Hamm,PP,Rio Grande do Sul,DepAfonsoHamm
365,Afonso Motta,PDT,Rio Grande do Sul,afonso_motta
366,Alceu Moreira,MDB,Rio Grande do Sul,Alceu_Moreira
367,Bibo Nunes,PSL,Rio Grande do Sul,bibonunes1
368,Bohn Gass,PT,Rio Grande do Sul,BohnGass
369,Carlos Gomes,PRB,Rio Grande do Sul,carlosgomesdep
370,Covatti Filho,PP,Rio Grande do Sul,370
371,Daniel da TV,PSDB,Rio Grande do Sul,371
372,Danrlei de Deus Goleiro,PSD,Rio Grande do Sul,372
373,Fernanda Melchionna,PSOL,Rio Grande do Sul,373
374,Giovani Cherini,PR,Rio Grande do Sul,giovanicherini
375,Giovani Feltes,MDB,Rio Grande do Sul,GiovaniFeltes
376,Heitor Schuch,PSB,Rio Grande do Sul,376
377,Henrique Fontana,PT,Rio Grande do Sul,eloipoltronieri
378,Jerônimo Goergen,PP,Rio Grande do Sul,jeronimogoergen
379,Liziane Bayer,PSB,Rio Grande do Sul,379
380,Lucas Redecker,PSDB,Rio Grande do Sul,LucasRedecker
381,Marcel Van Hattem,NOVO,Rio Grande do Sul,marcelvanhattem
382,Marcelo Moraes,PTB,Rio Grande do Sul,382
383,Márcio Biolchi,MDB,Rio Grande do Sul,marciobiolchi
384,Marcon,PT,Rio Grande do Sul,depmarcon
385,Maria do Rosário,PT,Rio Grande do Sul,mariadorosario
386,Marlon Santos,PDT,Rio Grande do Sul,deputado_marlon
387,Maurício Dziedricki,PTB,Rio Grande do Sul,mauricioptbrs
388,Nereu Crispin,PSL,Rio Grande do Sul,388
389,Onyx Lorenzoni,DEM,Rio Grande do Sul,onyxlorenzoni
390,Osmar Terra,MDB,Rio Grande do Sul,390
391,Paulo Pimenta,PT,Rio Grande do Sul,DeputadoFederal
392,Pedro Westphalen,PP,Rio Grande do Sul,pedrowestphalen
393,Pompeo de Mattos,PDT,Rio Grande do Sul,PompeodeMattos
394,Sanderson Federal,PSL,Rio Grande do Sul,DepSanderson
395,Coronel Chrisóstomo,PSL,Rondônia,DepChrisostomo
396,Dr. Mauro Nazif,PSB,Rondônia,drmauronazif
397,Expedito Netto,PSD,Rondônia,netto_expedito
398,Jaqueline Cassol,PP,Rondônia,398
399,Léo Moraes,PODE,Rondônia,DepLeoMoraes
400,Lucio Mosquini,MDB,Rondônia,400
401,Mariana Carvalho,PSDB,Rondônia,DeputadaMariana
402,Silvia Cristina,PDT,Rondônia,silviacristinax
403,Dr. Hiran Gonçalves,PP,Roraima,403
404,Edio Lopes,PR,Roraima,ediolopes
405,Haroldo Cathedral,PSD,Roraima,405
406,Jhonatan de Jesus,PRB,Roraima,406
407,Joenia Wapichana,REDE,Roraima,JoeniaWapichana
408,Nicoletti,PSL,Roraima,depnicoletti
409,Otaci,SD,Roraima,409
410,Shéridan,PSDB,Roraima,410
411,Angela Amin,PP,Santa Catarina,DeputadaAngela
412,Carlos Chiodini,MDB,Santa Catarina,fabioslimas
413,Carmen Zanotto,PPS,Santa Catarina,413
414,Caroline de Toni,PSL,Santa Catarina,414
415,Celso Maldaner,MDB,Santa Catarina,celsomaldaner
416,Coronel Armando,PSL,Santa Catarina,cel_armando
417,Daniel Freitas,PSL,Santa Catarina,417
418,Darci de Matos,PSD,Santa Catarina,depdarcidematos
419,Fabio Schiochet,PSL,Santa Catarina,419
420,Geovania de Sá,PSDB,Santa Catarina,geovaniadesa
421,Gilson Marques,NOVO,Santa Catarina,gilsonmarques30
422,Hélio Costa,PRB,Santa Catarina,422
423,Peninha,MDB,Santa Catarina,423
424,Professor Pedro Uczai,PT,Santa Catarina,uczai
425,Ricardo Guidi,PSD,Santa Catarina,ricardozguidi
426,Rodrigo Coelho,PSB,Santa Catarina,coelho_rodrigo
427,Abou Anni,PSL,São Paulo,427
428,Adriana Ventura,NOVO,São Paulo,adriventurasp
429,Alencar Santana,PT,São Paulo,429
430,Alex Manente,PPS,São Paulo,430
431,Alexandre Frota,PSL,São Paulo,77_frota
432,Alexandre Leite,DEM,São Paulo,lexandreleite
433,Alexandre Padilha,PT,São Paulo,padilhando
434,Alexis,NOVO,São Paulo,AlexisFonteyne
435,Arlindo Chinaglia,PT,São Paulo,depchinaglia
436,Arnaldo Jardim,PPS,São Paulo,ArnaldoJardim
437,Baleia Rossi,MDB,São Paulo,437
438,Bruna Furlan,PSDB,São Paulo,438
439,Capitão Augusto,PR,São Paulo,capitao_augusto
440,Carla Zambelli,PSL,São Paulo,CarlaZambelli38
441,Carlos Sampaio,PSDB,São Paulo,carlossampaio_
442,Carlos Zarattini,PT,São Paulo,CarlosZarattini
443,Celso Russomano,PRB,São Paulo,celsorussomanno
444,Cezinha de Madureira,PSD,São Paulo,444
445,Coronel Tadeu,PSL,São Paulo,CoronelTadeu
446,David Soares,DEM,São Paulo,davidbrsoares
447,Eduardo Bolsonaro,PSL,São Paulo,BolsonaroSP
448,Eduardo Cury,PSDB,São Paulo,Eduardo_Cury
449,Eli Corrêa Filho,DEM,São Paulo,449
450,Enrico Misasi,PV,São Paulo,450
451,Fausto Pinato,PP,São Paulo,Fausto_Pinato
452,General Peternelli,PSL,São Paulo,452
453,Geninho Zuliani,DEM,São Paulo,geninhozuliani
454,Gilberto Nascimento,PSC,São Paulo,454
455,Guiga Peixoto,PSL,São Paulo,DepGuigaPeixoto
456,Guilherme Mussi,PP,São Paulo,GuilhermeMussi
457,Herculano Passos,MDB,São Paulo,herculanopassos
458,Ivan Valente,PSOL,São Paulo,ivanvalente69
459,Jefferson Campos,PSB,São Paulo,DepJefferson
460,Joice Hasselmann,PSL,São Paulo,joicehasselmann
461,Junior Bozzella,PSL,São Paulo,461
462,Kim Kataguiri,DEM,São Paulo,kimpkat
463,Luiz Carlos Motta,PR,São Paulo,463
464,Luiz Philippe O. Bragança,PSL,São Paulo,464
465,Luiza Erundina,PSOL,São Paulo,luizaerundina
466,Marcio Alvino,PR,São Paulo,466
467,Marco Bertaiolli,PSD,São Paulo,MarcoBertaiolli
468,Marcos Pereira,PRB,São Paulo,468
469,Maria Rosas,PRB,São Paulo,469
470,Miguel Lombardi,PR,São Paulo,470
471,Milton Vieira,PRB,São Paulo,471
472,Nilto Tatto,PT,São Paulo,NiltoTatto
473,Orlando Silva,PC do B,São Paulo,orlandosilva
474,Pastor Marco Feliciano,PODE,São Paulo,marcofeliciano4
475,Paulinho da Força,SD,São Paulo,dep_paulinho
476,Paulo Freire Costa,PR,São Paulo,DF_PauloFreire
477,Paulo Teixeira,PT,São Paulo,PauloRJTeixeira
478,Policial Katia Sastre,PR,São Paulo,478
479,Professor Luiz Flavio Gomes,PSB,São Paulo,flaviogomes69
480,Renata Abreu,PODE,São Paulo,RenataAbreu1919
481,Ricardo Izar,PP,São Paulo,RicardoIzar
482,Roberto Alves,PRB,São Paulo,RobertoAlves_10
483,Roberto de Lucena,PODE,São Paulo,robertodelucena
484,Rodrigo Agostinho,PSB,São Paulo,rodrigoagost
485,Rosana Valle,PSB,São Paulo,DepRosanaValle
486,Rui Falcão,PT,São Paulo,admruifalcao13
487,Sâmia Bomfim,PSOL,São Paulo,samiabomfim
488,Samuel Moreira,PSDB,São Paulo,488
489,Tabata Amaral,PDT,São Paulo,tabataamaralsp
490,Tenente Derrite,PP,São Paulo,490
491,Tiririca,PR,São Paulo,Tiriricafed
492,Vanderlei Macris,PSDB,São Paulo,vanderleimacris
493,Vicentinho,PT,São Paulo,VICENTINHOPT
